深度,平均cost,理论期望cost
0,1.86,0.95
1,10.18,4.3
2,18.563553390593277,14.453553390593273
3,64.31476778880878,44.99367287367204
4,189.01608032207844,136.6810186210161
5,673.1102514717135,411.8020728574233
6,1639.715774285761,1237.2185910079656
7,5910.7629223533595,3713.517210851663
8,19074.16833679011,11142.458739336176
9,50071.33353213786,33429.32621800853
